Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
04-Jun-15,2031,2056.6,2014.35,2028.05,2036.900349,86442,6500,176073740,21354,24.7,42.25,-2.95
03-Jun-15,2020,2060,2008.25,2023.1,2018.004105,174177,7107,351489901,89847,51.58,51.75,3.1
02-Jun-15,2045,2054.8,2005.1,2008.8,2015.735286,138784,6055,279751806,75685,54.53,49.7,-36.2
01-Jun-15,2030,2063,2023.3,2045.7,2047.005122,79075,5558,161866930,31957,40.41,39.7,15.7
29-May-15,2017,2053.5,2003.75,2022.4,2025.214713,186598,9046,377901015,63702,34.14,49.75,5.4
28-May-15,1980,2027,1976.3,2014.3,1995.636557,105359,5804,210258272,46037,43.7,50.7,34.3
27-May-15,2015,2015,1953.75,1969.05,1967.329381,137813,6411,271123564,68230,49.51,61.25,-45.95
26-May-15,2021,2031.05,2000.5,2009.3,2015.112517,119724,4617,241257331,50685,42.33,30.55,-11.7
25-May-15,2050,2056.9,2007,2018,2027.51185,84132,4450,170578627,37645,44.75,49.9,-32
22-May-15,2045,2049.4,2030.05,2041.8,2043.175417,172287,3778,352012563,127246,73.86,19.35,-3.2
21-May-15,2049,2061,2035,2043.35,2045.554903,54123,3172,110711568,15888,29.36,26,-5.65
20-May-15,2033.55,2051,2033.55,2044.7,2044.318771,68143,3972,139306014,20817,30.55,17.45,11.15
19-May-15,1989,2032.7,1984.4,2018.15,2016.790562,92395,6005,186341364,23961,25.93,48.3,29.15
